node_id,age,weekly internet usage,weekly streaming
0,18-25,20+ hours,medium
1,26-35,0-10 hours,high
2,26-35,0-10 hours,medium
3,13-17,10-20 hours,low
4,26-35,10-20 hours,high
5,18-25,20+ hours,medium
6,18-25,20+ hours,high
7,26-35,20+ hours,medium
8,18-25,0-10 hours,high
9,18-25,10-20 hours,medium
10,26-35,10-20 hours,high
11,35+,0-10 hours,high
12,18-25,20+ hours,medium
13,26-35,10-20 hours,high
14,35+,10-20 hours,high
15,26-35,0-10 hours,medium
16,26-35,10-20 hours,low
17,18-25,0-10 hours,medium
18,13-17,10-20 hours,low
19,18-25,20+ hours,medium
20,26-35,10-20 hours,high
21,13-17,0-10 hours,low
22,13-17,20+ hours,low
23,26-35,10-20 hours,high
24,18-25,10-20 hours,medium
25,18-25,20+ hours,high
26,18-25,20+ hours,medium
27,13-17,0-10 hours,low
28,26-35,10-20 hours,high
29,18-25,10-20 hours,high
30,18-25,20+ hours,medium
31,18-25,20+ hours,medium
32,13-17,10-20 hours,low
33,13-17,20+ hours,medium
34,18-25,10-20 hours,medium
35,26-35,10-20 hours,high
36,18-25,10-20 hours,high
37,26-35,10-20 hours,high
38,13-17,0-10 hours,low
39,26-35,10-20 hours,high
40,26-35,0-10 hours,high
41,26-35,10-20 hours,high
42,18-25,0-10 hours,medium
43,26-35,10-20 hours,high
44,18-25,20+ hours,medium
45,18-25,20+ hours,high
46,26-35,10-20 hours,high
47,18-25,0-10 hours,medium
48,35+,0-10 hours,high
49,18-25,10-20 hours,high
50,18-25,20+ hours,medium
51,18-25,20+ hours,medium
52,18-25,0-10 hours,low
53,13-17,10-20 hours,low
54,18-25,0-10 hours,medium
55,18-25,0-10 hours,medium
56,35+,20+ hours,high
57,18-25,0-10 hours,medium
58,18-25,20+ hours,high
59,13-17,10-20 hours,low
60,18-25,10-20 hours,high
61,18-25,10-20 hours,high
62,13-17,0-10 hours,low
63,13-17,20+ hours,low
64,13-17,0-10 hours,low
65,18-25,0-10 hours,medium
66,13-17,10-20 hours,low
67,18-25,10-20 hours,medium
68,18-25,10-20 hours,medium
69,13-17,10-20 hours,low
70,18-25,20+ hours,high
71,26-35,0-10 hours,medium
72,18-25,10-20 hours,low
73,26-35,0-10 hours,medium
74,26-35,10-20 hours,high
75,18-25,20+ hours,medium
76,18-25,10-20 hours,medium
77,13-17,0-10 hours,low
78,26-35,10-20 hours,high
79,26-35,0-10 hours,medium
80,35+,0-10 hours,low
81,18-25,20+ hours,low
82,13-17,10-20 hours,medium
83,13-17,0-10 hours,low
84,18-25,10-20 hours,low
85,13-17,20+ hours,low
86,26-35,10-20 hours,medium
87,26-35,0-10 hours,high
88,18-25,20+ hours,low
89,18-25,0-10 hours,high
90,18-25,20+ hours,medium
91,26-35,0-10 hours,medium
92,26-35,10-20 hours,high
93,26-35,0-10 hours,high
94,18-25,10-20 hours,high
95,26-35,10-20 hours,high
96,26-35,10-20 hours,medium
97,18-25,10-20 hours,medium
98,18-25,20+ hours,medium
99,13-17,0-10 hours,low
